"Notes"	"Cause of death"	"Cause of death Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	"45-54 years"	"45-54"	"Male"	"M"	10	17945514	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic accident"	"V57.9"	"20-24 years"	"20-24"	"Male"	"M"	13	9492814	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic accident"	"V57.9"	"25-34 years"	"25-34"	"Male"	"M"	13	20233316	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic accident"	"V57.9"	"35-44 years"	"35-44"	"Male"	"M"	11	22407073	0.0 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"15-19 years"	"15-19"	"Female"	"F"	12	9761569	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"15-19 years"	"15-19"	"Male"	"M"	39	10323033	0.4
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"20-24 years"	"20-24"	"Male"	"M"	71	9492814	0.7
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"25-34 years"	"25-34"	"Female"	"F"	20	19945090	0.1
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"25-34 years"	"25-34"	"Male"	"M"	95	20233316	0.5
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"35-44 years"	"35-44"	"Female"	"F"	13	22669604	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"35-44 years"	"35-44"	"Male"	"M"	107	22407073	0.5
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"45-54 years"	"45-54"	"Female"	"F"	10	18632305	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"45-54 years"	"45-54"	"Male"	"M"	66	17945514	0.4
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"55-64 years"	"55-64"	"Male"	"M"	39	11399263	0.3
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"65-74 years"	"65-74"	"Male"	"M"	24	8293485	0.3
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"75-84 years"	"75-84"	"Male"	"M"	14	4813716	0.3 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"10-14 years"	"10-14"	"Female"	"F"	10	9855664	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"15-19 years"	"15-19"	"Female"	"F"	26	9761569	0.3
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"15-19 years"	"15-19"	"Male"	"M"	52	10323033	0.5
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"20-24 years"	"20-24"	"Female"	"F"	11	9098615	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"20-24 years"	"20-24"	"Male"	"M"	33	9492814	0.3
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"25-34 years"	"25-34"	"Female"	"F"	16	19945090	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"25-34 years"	"25-34"	"Male"	"M"	28	20233316	0.1
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"35-44 years"	"35-44"	"Male"	"M"	18	22407073	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"45-54 years"	"45-54"	"Female"	"F"	10	18632305	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"45-54 years"	"45-54"	"Male"	"M"	11	17945514	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"55-64 years"	"55-64"	"Male"	"M"	10	11399263	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"20-24 years"	"20-24"	"Male"	"M"	16	9492814	0.2 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"25-34 years"	"25-34"	"Male"	"M"	16	20233316	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"35-44 years"	"35-44"	"Male"	"M"	21	22407073	0.1
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"45-54 years"	"45-54"	"Male"	"M"	13	17945514	0.1 (Unreliable)
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"55-64 years"	"55-64"	"Male"	"M"	14	11399263	0.1 (Unreliable)
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"25-34 years"	"25-34"	"Male"	"M"	15	20233316	0.1 (Unreliable)
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"45-54 years"	"45-54"	"Male"	"M"	14	17945514	0.1 (Unreliable)
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"15-19 years"	"15-19"	"Male"	"M"	11	10323033	0.1 (Unreliable)
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"20-24 years"	"20-24"	"Male"	"M"	13	9492814	0.1 (Unreliable)
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"25-34 years"	"25-34"	"Male"	"M"	19	20233316	0.1 (Unreliable)
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"35-44 years"	"35-44"	"Male"	"M"	16	22407073	0.1 (Unreliable)
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"45-54 years"	"45-54"	"Male"	"M"	10	17945514	0.1 (Unreliable)
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"55-64 years"	"55-64"	"Male"	"M"	12	11399263	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V64.5"	"35-44 years"	"35-44"	"Male"	"M"	15	22407073	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V64.5"	"45-54 years"	"45-54"	"Male"	"M"	12	17945514	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"35-44 years"	"35-44"	"Male"	"M"	12	22407073	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"45-54 years"	"45-54"	"Male"	"M"	19	17945514	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"55-64 years"	"55-64"	"Male"	"M"	11	11399263	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"25-34 years"	"25-34"	"Male"	"M"	17	20233316	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"35-44 years"	"35-44"	"Male"	"M"	39	22407073	0.2
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"45-54 years"	"45-54"	"Male"	"M"	16	17945514	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"55-64 years"	"55-64"	"Male"	"M"	13	11399263	0.1 (Unreliable)
	"Occupant of heavy transport vehicle injured in noncollision transport accident, unspecified occupant of heavy transport vehicle injured in traffic accident"	"V68.9"	"45-54 years"	"45-54"	"Male"	"M"	10	17945514	0.1 (Unreliable)
	"Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident"	"V80.0"	"45-54 years"	"45-54"	"Female"	"F"	10	18632305	0.1 (Unreliable)
	"Unspecified occupant of special agricultural vehicle injured in nontraffic accident"	"V84.9"	"25-34 years"	"25-34"	"Male"	"M"	12	20233316	0.1 (Unreliable)
	"Unspecified occupant of special agricultural vehicle injured in nontraffic accident"	"V84.9"	"35-44 years"	"35-44"	"Male"	"M"	18	22407073	0.1 (Unreliable)
	"Unspecified occupant of special agricultural vehicle injured in nontraffic accident"	"V84.9"	"45-54 years"	"45-54"	"Male"	"M"	33	17945514	0.2
	"Unspecified occupant of special agricultural vehicle injured in nontraffic accident"	"V84.9"	"55-64 years"	"55-64"	"Male"	"M"	39	11399263	0.3
	"Unspecified occupant of special agricultural vehicle injured in nontraffic accident"	"V84.9"	"65-74 years"	"65-74"	"Male"	"M"	53	8293485	0.6
	"Unspecified occupant of special agricultural vehicle injured in nontraffic accident"	"V84.9"	"75-84 years"	"75-84"	"Male"	"M"	36	4813716	0.7
	"Unspecified occupant of special agricultural vehicle injured in nontraffic accident"	"V84.9"	"85+ years"	"85+"	"Male"	"M"	16	1193310	1.3 (Unreliable)
	"Driver of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.0"	"10-14 years"	"10-14"	"Male"	"M"	13	10357700	0.1 (Unreliable)
	"Driver of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.0"	"15-19 years"	"15-19"	"Male"	"M"	20	10323033	0.2
	"Driver of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.0"	"20-24 years"	"20-24"	"Male"	"M"	15	9492814	0.2 (Unreliable)
	"Driver of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.0"	"25-34 years"	"25-34"	"Male"	"M"	25	20233316	0.1
	"Driver of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.0"	"35-44 years"	"35-44"	"Male"	"M"	17	22407073	0.1 (Unreliable)
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.3"	"20-24 years"	"20-24"	"Male"	"M"	12	9492814	0.1 (Unreliable)
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.3"	"25-34 years"	"25-34"	"Male"	"M"	15	20233316	0.1 (Unreliable)
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in traffic accident"	"V86.3"	"35-44 years"	"35-44"	"Male"	"M"	17	22407073	0.1 (Unreliable)
	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.5"	"10-14 years"	"10-14"	"Male"	"M"	15	10357700	0.1 (Unreliable)
	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.5"	"15-19 years"	"15-19"	"Male"	"M"	11	10323033	0.1 (Unreliable)
	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.5"	"20-24 years"	"20-24"	"Male"	"M"	12	9492814	0.1 (Unreliable)
	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.5"	"25-34 years"	"25-34"	"Male"	"M"	30	20233316	0.1
	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.5"	"35-44 years"	"35-44"	"Male"	"M"	22	22407073	0.1
	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.5"	"45-54 years"	"45-54"	"Male"	"M"	12	17945514	0.1 (Unreliable)
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"5-9 years"	"5-9"	"Male"	"M"	11	10553842	0.1 (Unreliable)
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"10-14 years"	"10-14"	"Male"	"M"	19	10357700	0.2 (Unreliable)
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"15-19 years"	"15-19"	"Male"	"M"	21	10323033	0.2
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"20-24 years"	"20-24"	"Male"	"M"	31	9492814	0.3
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"25-34 years"	"25-34"	"Male"	"M"	36	20233316	0.2
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"35-44 years"	"35-44"	"Male"	"M"	23	22407073	0.1
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"45-54 years"	"45-54"	"Male"	"M"	27	17945514	0.2
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"55-64 years"	"55-64"	"Male"	"M"	13	11399263	0.1 (Unreliable)
	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	"65-74 years"	"65-74"	"Male"	"M"	13	8293485	0.2 (Unreliable)
	"Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)"	"V87.0"	"20-24 years"	"20-24"	"Male"	"M"	11	9492814	0.1 (Unreliable)
	"Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)"	"V87.0"	"25-34 years"	"25-34"	"Male"	"M"	14	20233316	0.1 (Unreliable)
	"Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)"	"V87.0"	"35-44 years"	"35-44"	"Male"	"M"	10	22407073	0.0 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"15-19 years"	"15-19"	"Female"	"F"	18	9761569	0.2 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"15-19 years"	"15-19"	"Male"	"M"	26	10323033	0.3
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"20-24 years"	"20-24"	"Male"	"M"	13	9492814	0.1 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"25-34 years"	"25-34"	"Female"	"F"	14	19945090	0.1 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"25-34 years"	"25-34"	"Male"	"M"	15	20233316	0.1 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"35-44 years"	"35-44"	"Female"	"F"	12	22669604	0.1 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"35-44 years"	"35-44"	"Male"	"M"	28	22407073	0.1
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"45-54 years"	"45-54"	"Female"	"F"	10	18632305	0.1 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"45-54 years"	"45-54"	"Male"	"M"	16	17945514	0.1 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"55-64 years"	"55-64"	"Female"	"F"	11	12378763	0.1 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"65-74 years"	"65-74"	"Female"	"F"	10	10125424	0.1 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"65-74 years"	"65-74"	"Male"	"M"	18	8293485	0.2 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"75-84 years"	"75-84"	"Female"	"F"	13	7411198	0.2 (Unreliable)
	"Person injured in collision between car and pick-up truck or van (traffic)"	"V87.2"	"75-84 years"	"75-84"	"Male"	"M"	19	4813716	0.4 (Unreliable)
	"Person injured in collision between car and heavy transport vehicle (traffic)"	"V87.4"	"25-34 years"	"25-34"	"Male"	"M"	11	20233316	0.1 (Unreliable)
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"1-4 years"	"1-4"	"Female"	"F"	19	7493614	0.3 (Unreliable)
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"1-4 years"	"1-4"	"Male"	"M"	22	7846168	0.3
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"5-9 years"	"5-9"	"Female"	"F"	23	10052618	0.2
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"5-9 years"	"5-9"	"Male"	"M"	30	10553842	0.3
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"10-14 years"	"10-14"	"Female"	"F"	34	9855664	0.3
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"10-14 years"	"10-14"	"Male"	"M"	39	10357700	0.4
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"15-19 years"	"15-19"	"Female"	"F"	127	9761569	1.3
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"15-19 years"	"15-19"	"Male"	"M"	221	10323033	2.1
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"20-24 years"	"20-24"	"Female"	"F"	109	9098615	1.2
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"20-24 years"	"20-24"	"Male"	"M"	209	9492814	2.2
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"25-34 years"	"25-34"	"Female"	"F"	142	19945090	0.7
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"25-34 years"	"25-34"	"Male"	"M"	270	20233316	1.3
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"35-44 years"	"35-44"	"Female"	"F"	163	22669604	0.7
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"35-44 years"	"35-44"	"Male"	"M"	296	22407073	1.3
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"45-54 years"	"45-54"	"Female"	"F"	145	18632305	0.8
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"45-54 years"	"45-54"	"Male"	"M"	220	17945514	1.2
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"55-64 years"	"55-64"	"Female"	"F"	112	12378763	0.9
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"55-64 years"	"55-64"	"Male"	"M"	160	11399263	1.4
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"65-74 years"	"65-74"	"Female"	"F"	135	10125424	1.3
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"65-74 years"	"65-74"	"Male"	"M"	169	8293485	2.0
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"75-84 years"	"75-84"	"Female"	"F"	138	7411198	1.9
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"75-84 years"	"75-84"	"Male"	"M"	206	4813716	4.3
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"85+ years"	"85+"	"Female"	"F"	53	2960708	1.8
	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	"85+ years"	"85+"	"Male"	"M"	77	1193310	6.5
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"15-19 years"	"15-19"	"Female"	"F"	30	9761569	0.3
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"15-19 years"	"15-19"	"Male"	"M"	80	10323033	0.8
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"20-24 years"	"20-24"	"Female"	"F"	16	9098615	0.2 (Unreliable)
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"20-24 years"	"20-24"	"Male"	"M"	75	9492814	0.8
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"25-34 years"	"25-34"	"Female"	"F"	25	19945090	0.1
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"25-34 years"	"25-34"	"Male"	"M"	67	20233316	0.3
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"35-44 years"	"35-44"	"Female"	"F"	38	22669604	0.2
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"35-44 years"	"35-44"	"Male"	"M"	71	22407073	0.3
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"45-54 years"	"45-54"	"Female"	"F"	28	18632305	0.2
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"45-54 years"	"45-54"	"Male"	"M"	41	17945514	0.2
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"55-64 years"	"55-64"	"Male"	"M"	23	11399263	0.2
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"65-74 years"	"65-74"	"Male"	"M"	11	8293485	0.1 (Unreliable)
	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"	"V87.8"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"Person injured in unspecified motor-vehicle accident, nontraffic"	"V89.0"	"15-19 years"	"15-19"	"Male"	"M"	11	10323033	0.1 (Unreliable)
	"Person injured in unspecified motor-vehicle accident, nontraffic"	"V89.0"	"20-24 years"	"20-24"	"Male"	"M"	10	9492814	0.1 (Unreliable)
	"Person injured in unspecified motor-vehicle accident, nontraffic"	"V89.0"	"35-44 years"	"35-44"	"Male"	"M"	12	22407073	0.1 (Unreliable)
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"< 1 year"	"1"	"Female"	"F"	36	1852123	1.9
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"< 1 year"	"1"	"Male"	"M"	29	1943639	1.5
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"1-4 years"	"1-4"	"Female"	"F"	68	7493614	0.9
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"1-4 years"	"1-4"	"Male"	"M"	68	7846168	0.9
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"5-9 years"	"5-9"	"Female"	"F"	70	10052618	0.7
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"5-9 years"	"5-9"	"Male"	"M"	82	10553842	0.8
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"10-14 years"	"10-14"	"Female"	"F"	83	9855664	0.8
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"10-14 years"	"10-14"	"Male"	"M"	100	10357700	1.0
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"15-19 years"	"15-19"	"Female"	"F"	581	9761569	6.0
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"15-19 years"	"15-19"	"Male"	"M"	1015	10323033	9.8
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"20-24 years"	"20-24"	"Female"	"F"	367	9098615	4.0
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"20-24 years"	"20-24"	"Male"	"M"	1050	9492814	11.1
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"25-34 years"	"25-34"	"Female"	"F"	558	19945090	2.8
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"25-34 years"	"25-34"	"Male"	"M"	1245	20233316	6.2
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"35-44 years"	"35-44"	"Female"	"F"	556	22669604	2.5
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"35-44 years"	"35-44"	"Male"	"M"	1069	22407073	4.8
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"45-54 years"	"45-54"	"Female"	"F"	400	18632305	2.1
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"45-54 years"	"45-54"	"Male"	"M"	777	17945514	4.3
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"55-64 years"	"55-64"	"Female"	"F"	290	12378763	2.3
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"55-64 years"	"55-64"	"Male"	"M"	496	11399263	4.4
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"65-74 years"	"65-74"	"Female"	"F"	386	10125424	3.8
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"65-74 years"	"65-74"	"Male"	"M"	471	8293485	5.7
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"75-84 years"	"75-84"	"Female"	"F"	424	7411198	5.7
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"75-84 years"	"75-84"	"Male"	"M"	472	4813716	9.8
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"85+ years"	"85+"	"Female"	"F"	166	2960708	5.6
	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	"85+ years"	"85+"	"Male"	"M"	201	1193310	16.8
	"Person injured in unspecified vehicle accident"	"V89.9"	"15-19 years"	"15-19"	"Female"	"F"	32	9761569	0.3
	"Person injured in unspecified vehicle accident"	"V89.9"	"15-19 years"	"15-19"	"Male"	"M"	54	10323033	0.5
	"Person injured in unspecified vehicle accident"	"V89.9"	"20-24 years"	"20-24"	"Female"	"F"	18	9098615	0.2 (Unreliable)
	"Person injured in unspecified vehicle accident"	"V89.9"	"20-24 years"	"20-24"	"Male"	"M"	59	9492814	0.6
	"Person injured in unspecified vehicle accident"	"V89.9"	"25-34 years"	"25-34"	"Female"	"F"	30	19945090	0.2
	"Person injured in unspecified vehicle accident"	"V89.9"	"25-34 years"	"25-34"	"Male"	"M"	73	20233316	0.4
	"Person injured in unspecified vehicle accident"	"V89.9"	"35-44 years"	"35-44"	"Female"	"F"	23	22669604	0.1
	"Person injured in unspecified vehicle accident"	"V89.9"	"35-44 years"	"35-44"	"Male"	"M"	57	22407073	0.3
	"Person injured in unspecified vehicle accident"	"V89.9"	"45-54 years"	"45-54"	"Female"	"F"	20	18632305	0.1
	"Person injured in unspecified vehicle accident"	"V89.9"	"45-54 years"	"45-54"	"Male"	"M"	53	17945514	0.3
	"Person injured in unspecified vehicle accident"	"V89.9"	"55-64 years"	"55-64"	"Female"	"F"	12	12378763	0.1 (Unreliable)
	"Person injured in unspecified vehicle accident"	"V89.9"	"55-64 years"	"55-64"	"Male"	"M"	30	11399263	0.3
	"Person injured in unspecified vehicle accident"	"V89.9"	"65-74 years"	"65-74"	"Female"	"F"	20	10125424	0.2
	"Person injured in unspecified vehicle accident"	"V89.9"	"65-74 years"	"65-74"	"Male"	"M"	17	8293485	0.2 (Unreliable)
	"Person injured in unspecified vehicle accident"	"V89.9"	"75-84 years"	"75-84"	"Female"	"F"	29	7411198	0.4
	"Person injured in unspecified vehicle accident"	"V89.9"	"75-84 years"	"75-84"	"Male"	"M"	19	4813716	0.4 (Unreliable)
	"Person injured in unspecified vehicle accident"	"V89.9"	"85+ years"	"85+"	"Male"	"M"	17	1193310	1.4 (Unreliable)
	"Accident to watercraft causing drowning and submersion, unspecified watercraft, boat NOS, ship NOS, or watercraft NOS"	"V90.9"	"15-19 years"	"15-19"	"Male"	"M"	10	10323033	0.1 (Unreliable)
